,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
138380,192.168.20.131-200.175.2.130-53968-8081-6,192.168.20.131,53968,200.175.2.130,8081,6,31/12/2019 02:03:08 PM,12574,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,26324.16097,636.2334977,1796.285714,2011.13672,6179.0,111.0,10071.0,3357.0,5108.092795000001,9245.0,111.0,10308.0,3436.0,2411.399386,6179.0,1650.0,0,0,0,0,128,144,318.1167488,318.1167488,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138381,192.168.20.131-200.175.2.130-53968-8081-6,200.175.2.130,8081,192.168.20.131,53968,6,31/12/2019 02:03:08 PM,51252,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.0228674,51252.0,0.0,51252.0,51252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.5114337,19.5114337,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138382,192.168.20.132-200.175.2.130-43074-8081-6,192.168.20.132,43074,200.175.2.130,8081,6,31/12/2019 02:03:10 PM,8186,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,40434.88883,977.27828,1169.428571,1165.26776,3729.0,231.0,6488.0,2162.666667,3023.465616,5647.0,231.0,6683.0,2227.666667,1361.809948,3729.0,1072.0,0,0,0,0,128,144,488.63914000000005,488.63914000000005,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138383,192.168.20.132-200.175.2.130-43074-8081-6,200.175.2.130,8081,192.168.20.132,43074,6,31/12/2019 02:03:10 PM,50489,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.61258888,50489.0,0.0,50489.0,50489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.80629444,19.80629444,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138384,192.168.20.131-200.175.2.130-53972-8081-6,192.168.20.131,53972,200.175.2.130,8081,6,31/12/2019 02:03:11 PM,8714,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,37984.85196,918.0628873,1244.857143,1148.054794,3406.0,161.0,7019.0,2339.666667,3600.041296,6495.0,161.0,6207.0,2069.0,1213.893323,3406.0,1036.0,0,0,0,0,128,144,459.0314437,459.0314437,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138385,192.168.20.131-200.175.2.130-53972-8081-6,200.175.2.130,8081,192.168.20.131,53972,6,31/12/2019 02:03:11 PM,48607,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41.14633695,48607.0,0.0,48607.0,48607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,20.57316847,20.57316847,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138386,192.168.20.132-200.175.2.130-43078-8081-6,192.168.20.132,43078,200.175.2.130,8081,6,31/12/2019 02:03:13 PM,7349,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,45040.14152,1088.583481,1049.857143,1028.055515,3271.0,211.0,5705.0,1901.666667,2758.624536,5085.0,211.0,6151.0,2050.333333,1120.671376,3271.0,1068.0,0,0,0,0,128,144,544.2917404,544.2917404,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138387,192.168.20.132-200.175.2.130-43078-8081-6,200.175.2.130,8081,192.168.20.132,43078,6,31/12/2019 02:03:13 PM,56299,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35.52460967,56299.0,0.0,56299.0,56299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,17.76230484,17.76230484,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138388,192.168.20.131-200.175.2.130-53976-8081-6,192.168.20.131,53976,200.175.2.130,8081,6,31/12/2019 02:03:14 PM,8049,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,41123.12088,993.9122872000003,1149.857143,1214.379461,3820.0,218.0,6299.0,2099.666667,2874.118706,5408.0,218.0,6746.0,2248.666667,1393.70633,3820.0,1162.0,0,0,0,0,128,144,496.95614360000013,496.95614360000013,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138389,192.168.20.131-200.175.2.130-53976-8081-6,200.175.2.130,8081,192.168.20.131,53976,6,31/12/2019 02:03:14 PM,52368,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38.19126184,52368.0,0.0,52368.0,52368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.09563092,19.09563092,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138390,192.168.20.132-200.175.2.130-43082-8081-6,192.168.20.132,43082,200.175.2.130,8081,6,31/12/2019 02:03:16 PM,11847,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,27939.56276,675.2764413,1692.428571,1611.564132,5132.0,413.0,8736.0,2912.0,4021.499845,7551.0,413.0,10264.0,3421.333333,1576.143817,5132.0,2028.0,0,0,0,0,128,144,337.6382206,337.6382206,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138391,192.168.20.132-200.175.2.130-43082-8081-6,200.175.2.130,8081,192.168.20.132,43082,6,31/12/2019 02:03:16 PM,54414,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36.75524681,54414.0,0.0,54414.0,54414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,18.37762341,18.37762341,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138392,192.168.20.131-200.175.2.130-53980-8081-6,192.168.20.131,53980,200.175.2.130,8081,6,31/12/2019 02:03:17 PM,18048,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,18339.98227,443.2624113,2578.285714,2568.393059,7918.0,609.0,12608.0,4202.666667,6127.674301,11278.0,609.0,16325.0,5441.666667,2236.178064,7918.0,3570.0,0,0,0,0,128,144,221.6312057,221.6312057,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138393,192.168.20.131-200.175.2.130-53980-8081-6,200.175.2.130,8081,192.168.20.131,53980,6,31/12/2019 02:03:17 PM,45677,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,43.78571272,45677.0,0.0,45677.0,45677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,21.89285636,21.89285636,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138394,192.168.20.132-200.175.2.130-43086-8081-6,192.168.20.132,43086,200.175.2.130,8081,6,31/12/2019 02:03:19 PM,18288,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,18099.30009,437.4453193,2612.571429,2712.355056,8559.0,539.0,13785.0,4595.0,6640.997515,12259.0,539.0,15864.0,5288.0,3079.781323,8559.0,2444.0,0,0,0,0,128,144,218.7226597,218.7226597,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138395,192.168.20.132-200.175.2.130-43086-8081-6,200.175.2.130,8081,192.168.20.132,43086,6,31/12/2019 02:03:19 PM,47054,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42.5043567,47054.0,0.0,47054.0,47054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,21.25217835,21.25217835,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138396,192.168.20.131-200.175.2.130-53984-8081-6,192.168.20.131,53984,200.175.2.130,8081,6,31/12/2019 02:03:20 PM,18758,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,17645.80446,426.4846999,2679.714286,2790.005479,7096.0,304.0,15642.0,5214.0,8344.667459,14849.0,304.0,12207.0,4069.0,2722.413819000001,7096.0,1821.0,0,0,0,0,128,144,213.2423499,213.2423499,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138397,192.168.20.131-200.175.2.130-53984-8081-6,200.175.2.130,8081,192.168.20.131,53984,6,31/12/2019 02:03:20 PM,43325,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,46.16272360000001,43325.0,0.0,43325.0,43325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,23.081361800000003,23.081361800000003,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138398,192.168.20.132-200.175.2.130-43090-8081-6,192.168.20.132,43090,200.175.2.130,8081,6,31/12/2019 02:03:22 PM,12979,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,25502.73519,616.3803066,1854.142857,2247.449994,6775.0,259.0,9930.0,3310.0,5095.148967,9192.0,259.0,11734.0,3911.333333,2558.408164,6775.0,1851.0,0,0,0,0,128,144,308.1901533,308.1901533,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138399,192.168.20.132-200.175.2.130-43090-8081-6,200.175.2.130,8081,192.168.20.132,43090,6,31/12/2019 02:03:22 PM,50283,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.77487421,50283.0,0.0,50283.0,50283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.88743711,19.88743711,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138400,192.168.20.131-200.175.2.130-53988-8081-6,192.168.20.131,53988,200.175.2.130,8081,6,31/12/2019 02:03:23 PM,18775,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,17629.8269,426.0985353,2682.142857,2420.268403,7671.0,697.0,13877.0,4625.666667,6736.350075,12404.0,697.0,16620.0,5540.0,2419.407159,7671.0,2910.0,0,0,0,0,128,144,213.0492676,213.0492676,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138401,192.168.20.131-200.175.2.130-53988-8081-6,200.175.2.130,8081,192.168.20.131,53988,6,31/12/2019 02:03:23 PM,46578,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42.93872644,46578.0,0.0,46578.0,46578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,21.46936322,21.46936322,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138402,192.168.20.132-200.175.2.130-43094-8081-6,192.168.20.132,43094,200.175.2.130,8081,6,31/12/2019 02:03:25 PM,12149,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,27245.04074,658.4904107000001,1735.571429,1459.491219,4821.0,302.0,8931.0,2977.0,4216.843725,7838.0,302.0,9989.0,3329.666667,1474.305712,4821.0,1873.0,0,0,0,0,128,144,329.2452054,329.2452054,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138403,192.168.20.132-200.175.2.130-43094-8081-6,200.175.2.130,8081,192.168.20.132,43094,6,31/12/2019 02:03:25 PM,52877,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37.82362842,52877.0,0.0,52877.0,52877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,18.91181421,18.91181421,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138404,192.168.20.131-200.175.2.130-53992-8081-6,192.168.20.131,53992,200.175.2.130,8081,6,31/12/2019 02:03:26 PM,8805,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,37592.27712,908.5746735,1257.857143,1155.1485369999998,3737.0,152.0,6923.0,2307.666667,3211.78398,5999.0,152.0,7107.0,2369.0,1301.571742,3737.0,1146.0,0,0,0,0,128,144,454.2873367,454.2873367,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138405,192.168.20.131-200.175.2.130-53992-8081-6,200.175.2.130,8081,192.168.20.131,53992,6,31/12/2019 02:03:26 PM,51588,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38.7687059,51588.0,0.0,51588.0,51588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.38435295,19.38435295,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138406,192.168.20.132-200.175.2.130-43098-8081-6,192.168.20.132,43098,200.175.2.130,8081,6,31/12/2019 02:03:28 PM,8922,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,37099.30509,896.6599417000001,1274.571429,1340.722549,4119.0,122.0,6719.0,2239.666667,3575.641807,6368.0,122.0,7433.0,2477.666667,1475.83547,4119.0,1260.0,0,0,0,0,128,144,448.3299709,448.3299709,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
